country_id,year,green_index_growth,gdp_growth,democracy
517,1983,-0.052626126,0.015834363,-7
517,1984,-0.000109349,-0.077937648,-7
517,1985,0.027777778,0.009102768,-7
517,1986,0.076505639,-0.00128872,-7
517,1987,0.000494218,-0.006451607,-7
517,1988,0.002963841,-0.022077871,-7
517,1989,-0.068656422,-0.03054449,-7
517,1990,0.045267053,0.035616387,-7
517,1991,-0.064251743,0,-7
517,1992,-0.05092993,0.007936563,-7
517,1993,-0.044434316,-0.10577274,-6
517,1994,0.014546322,-0.39692909,-6
517,1995,0.029850746,0.30731735,-6
517,1996,0.067785002,0.10234029,-6
517,1997,0.056107726,-0.038970463,-6
517,1998,0.012042097,0.066520773,-6
517,1999,0.039296072,0.034571089,-6
520,1983,-0.034876108,-0.071593508,-7
520,1984,-0.073330127,-0.032338336,-7
520,1985,0.056500245,-0.16066839,-7
520,1986,0.00407263,0.25114852,-7
520,1987,-0.014411414,-0.01958381,-7
520,1988,0.060785241,-0.011235959,-7
520,1989,-0.071321495,-0.021464672,-7
520,1990,0.032555133,-0.092903189,-7
520,1991,-0.1300483,-0.046941668,0
522,1983,0.27074379,-0.15124814,-8
522,1984,-0.46800208,0.019896194,-8
522,1985,0.3789731,-0.035623457,-8
522,1986,-0.37163121,-0.12840807,-8
522,1987,-0.26297969,0.21392529,-8
522,1988,0.65543646,0.17373234,-8
522,1989,-0.090656802,-0.021246439,-8
522,1990,0.53713125,-0.010853825,-8
522,1991,-0.26406354,-0.002194602,-8
530,1983,0.02095654,0.031055871,-7
530,1984,-0.12107483,-0.042168673,-8
530,1985,0.14836191,-0.059748411,-8
530,1986,-0.009454041,0.043478299,-8
530,1987,0.0210822,0.10554931,-8
530,1988,-0.029728759,-0.028785588,-8
530,1989,0.044976927,-0.023085235,-8
530,1990,-0.021853048,-0.01155519,-8
530,1991,-0.13077757,-0.078245945,0
530,1992,0.066774309,-0.084012844,0
530,1993,0.14642127,0.16523172,0
540,1983,-0.032181423,-0.008836586,-7
540,1984,0.011718262,0.026745925,-7
540,1985,0.043623321,0.028943619,-7
540,1986,0.030001154,-0.002812987,-7
540,1987,-0.067038424,0.011283521,-7
540,1988,-0.002476378,0.022315163,-7
540,1989,0.043910839,-0.043656215,-7
540,1990,0.001732237,-0.033510651,-7
540,1991,-0.035628192,-0.03185543,-3
540,1992,-0.035162576,-0.084119141,0
540,1993,0.014629021,-0.26336798,-1
540,1994,-0.053054407,-0.019394048,-1
540,1995,0.11998635,0.069228396,-2
540,1996,-0.009494585,0.066470161,-2
540,1997,0.037229266,0.030391987,-3
540,1998,-0.023058753,0.002437596,-3
540,1999,-0.018260667,-0.001653067,-3
541,1983,-0.051557712,-0.043093897,-8
541,1984,0.049294285,-0.019630508,-8
541,1985,0.066389732,-0.11778559,-8
541,1986,-0.025070708,0.028037339,-7
541,1987,-0.075036682,-0.033766188,-7
541,1988,0.059388321,0.021505339,-7
541,1989,0.021100428,0.0407895,-7
541,1990,-0.028736336,-0.039190922,-7
541,1991,0.012770166,-0.022368448,-6
541,1992,-0.13237301,-0.043068569,-6
541,1993,0.11770153,0.064180449,-6
541,1994,-0.066018656,0.045560308,6
541,1995,0.051989913,0.017256938,6
541,1996,0.071691215,0.043491028,6
541,1997,0.033818215,0.083947256,6
541,1998,-0.050078467,0.096403934,6
541,1999,0.047569774,0.052097622,6
551,1983,-0.057920862,-0.106383,-9
551,1984,0.017948918,-0.015476134,-9
551,1985,0.06960728,-0.022974599,-9
551,1986,0.01927782,-0.027227741,-9
551,1987,-0.1104956,-0.033078909,-9
551,1988,0.047686368,-0.003947318,-9
551,1989,0.059389733,-0.001321066,-9
551,1990,-0.022282708,-0.088624306,-9
551,1991,-0.016779024,0.014513774,6
551,1992,-0.10186819,-0.045932245,6
551,1993,0.11641661,0.037901226,6
551,1994,-0.063133053,-0.11165415,6
551,1995,0.027604276,-0.051337142,6
551,1996,0.05455251,0.039556731,1
551,1997,0.03246104,0.008051742,1
551,1998,-0.015124317,-0.041565705,1
551,1999,-0.01095839,0.001383011,1
552,1983,-0.070167266,0.024023984,1
552,1984,0.088435687,-0.1151026,1
552,1985,0.068082266,0.007456457,1
552,1986,0.060150899,-0.031249991,1
552,1987,-0.17573488,0.022071328,-6
552,1988,0.21568383,-0.097176068,-6
552,1989,-0.053364296,0.078196906,-6
552,1990,-0.041451573,0.008532415,-6
552,1991,0.001914862,0.055837549,-6
552,1992,-0.14197889,-0.068910323,-6
552,1993,0.14983389,-0.000256577,-6
