hhid,cash,age35,schooling,male,nutrition
755,1,0,0,0,0.091
756,0,0,0,0,0.783
757,1,0,0,0,0.482
758,0,0,1,1,-0.192
759,0,0,1,0,-0.275
760,0,0,0,0,-0.853
761,1,0,0,0,0.091
762,0,1,0,1,0.769
763,0,1,0,0,-0.277
764,0,1,0,1,-0.131
765,0,0,0,0,0.091
766,0,1,0,0,0.561
767,0,0,0,0,-0.526
768,0,1,0,0,-0.134
769,0,1,0,1,-0.743
770,1,1,0,0,0.091
771,1,0,0,1,1.136
772,1,1,0,0,0.895
773,0,1,0,0,0.895
774,1,1,0,0,0.895
775,1,0,0,0,-0.743
776,0,1,1,1,1.698
777,1,0,0,1,0.895
778,1,1,0,0,1.914
779,1,1,0,0,-1.485
780,1,1,0,1,-0.192
781,1,1,0,1,0.895
782,1,1,0,0,0.895
783,1,1,0,0,0.091
784,0,0,0,1,-0.801
785,1,0,0,0,-1.043
786,0,1,0,0,0.447
787,0,0,0,0,-0.918
788,1,1,0,0,1.248
789,0,0,0,0,-0.192
790,0,1,0,0,0.091
791,1,1,0,0,0.091
792,0,0,0,1,-0.614
793,0,0,0,1,0.895
794,1,0,0,0,0.2
795,0,0,0,0,-1.039
796,0,0,0,1,-0.012
797,0,0,0,1,1.136
798,1,1,0,0,0.444
799,1,1,0,0,0.444
800,1,1,1,0,0.895
801,1,1,0,0,0.895
802,1,1,0,0,-0.496
803,0,1,0,1,-0.39
804,1,0,0,0,0.091
805,1,0,0,0,-0.006
806,1,1,0,0,-0.584
807,0,0,0,1,1.698
808,1,1,0,0,0.091
809,0,1,0,0,0.895
810,1,0,0,0,0.091
811,1,0,0,0,-0.192
812,1,1,0,0,0.091
813,0,1,0,1,-0.131
814,0,0,0,0,-0.192
815,0,0,0,1,-1.66
816,0,0,0,0,0.091
817,1,0,0,1,-0.053
818,1,1,0,0,0.895
819,1,1,1,1,1.698
820,0,0,0,0,-1.275
821,0,1,0,0,0.895
822,0,1,0,0,1.698
823,1,1,0,1,0.091
824,1,1,0,0,-0.359
825,1,0,0,0,0.672
826,0,0,0,0,-0.277
827,1,0,0,0,0.444
828,1,1,0,0,-0.07
829,0,0,0,0,0.444
830,0,0,0,0,-1.485
831,1,0,0,0,-0.375
832,1,1,0,0,-0.318
833,1,0,0,0,-0.192
834,1,0,0,0,-2.432
835,1,1,0,1,-1.149
836,1,1,0,1,0.895
837,0,0,0,1,-0.584
838,0,0,0,0,0.444
839,0,0,1,1,0.895
840,1,0,0,1,-0.192
841,0,1,0,0,-0.529
842,1,1,0,1,-0.987
843,0,1,0,1,-0.192
844,0,1,0,0,0.895
845,0,0,0,1,1.136
846,0,1,0,0,-0.242
847,0,0,0,0,-2.497
848,1,0,0,0,0.895
849,1,1,0,0,-1.097
850,1,1,0,0,1.254
851,0,0,0,0,1.698
852,1,0,1,1,0.895
853,0,1,1,0,-0.584
854,0,1,0,0,-0.529
855,1,0,0,0,0.091
856,1,0,0,0,0.669
857,0,0,0,0,-1.22
858,1,1,0,0,-0.423
859,1,1,0,0,-0.735
860,0,1,0,1,0.769
861,1,1,0,0,0.895
862,1,1,0,0,0.895
863,0,1,0,0,-0.788
864,0,1,0,0,-0.02
865,1,1,0,0,0.895
866,0,0,0,0,-0.192
867,1,0,0,1,0.091
868,1,1,0,1,-0.42
869,1,0,0,0,-0.743
870,0,1,0,0,0.895
871,0,0,0,0,-1.994
872,1,1,0,0,-0.131
873,0,0,0,1,-0.192
874,1,1,0,0,-0.242
875,1,1,0,0,0.953
876,0,1,0,0,0.091
877,0,0,0,1,-0.693
878,0,0,0,0,-0.853
879,1,1,0,0,0.091
880,0,0,0,1,-1.102
881,0,0,0,0,0.091
882,1,1,1,0,-0.131
883,0,0,0,0,0.895
884,1,0,1,1,-1.488
885,0,1,0,0,-0.353
886,0,1,0,0,-0.278
887,1,1,0,0,0.895
888,1,0,0,0,-0.192
889,1,1,0,1,0.895
890,1,0,0,0,-1.432
891,1,0,1,0,0.091
892,0,1,1,1,0.895
893,1,1,0,0,0.444
894,1,1,0,0,0.091
895,0,0,1,1,0.895
896,0,0,0,0,-0.504
897,0,1,0,1,0.091
898,1,0,0,0,-0.192
899,1,1,0,1,1.675
900,0,1,0,0,1.698
901,1,0,0,0,1.136
902,1,1,0,1,-0.192
903,0,0,0,0,-1.149
904,0,0,0,0,-0.192
905,1,1,0,0,0.091
906,0,0,0,0,0.895
907,0,1,0,0,0.895
908,1,1,0,0,-0.353
909,0,0,0,1,0.895
910,1,0,0,1,1.136
911,0,1,0,0,-0.529
912,0,1,0,0,0.5
913,0,1,0,0,-0.192
914,1,0,0,1,0.895
915,0,0,0,0,0.091
916,1,1,0,1,0.895
917,0,0,0,0,-1.634
918,1,1,0,1,0.091
919,1,0,0,0,0.091
920,0,1,0,1,2.465
921,1,1,0,0,-1.076
922,1,0,0,0,-0.743
923,0,0,0,1,-0.192
924,1,1,0,1,-0.979
925,1,1,0,1,0.564
926,0,1,0,0,-0.02
927,1,0,0,0,1.136
928,0,1,0,0,0.895
929,0,1,0,0,-1.599
930,0,0,0,0,0.091
931,0,1,0,0,0.091
932,0,1,0,1,-0.304
933,1,1,0,1,0.091
934,0,1,0,0,0.895
935,0,0,0,1,0.5
936,1,0,0,0,-0.131
937,0,1,0,0,-1.888
938,1,1,0,0,0.091
939,0,1,0,0,-0.504
940,1,0,0,1,-0.669
941,0,0,0,0,-0.359
942,0,0,0,0,0.953
943,0,1,0,0,0.895
944,0,1,0,0,0.895
945,1,1,0,0,0.895
946,0,0,0,0,0.669
947,1,0,0,0,1.698
948,1,0,0,1,-0.131
949,1,0,0,0,-0.938
950,0,1,0,1,-0.237
951,0,1,0,0,-0.394
952,1,1,0,0,-1.88
953,1,1,0,0,1.136
954,1,1,0,0,0.895
955,1,1,0,0,0.219
956,0,1,0,1,2.465
957,1,1,0,0,0.895
958,0,1,0,0,0.091
959,0,0,0,0,-2.663
960,1,1,0,1,1.136
961,1,1,0,0,0.091
962,0,1,0,0,-2.022
963,0,1,0,0,0.895
964,1,1,0,0,-0.871
965,0,1,0,0,-0.83
