hhid,cash,eligible,time,male,age35,schooling,nutrition
221,1,0,0,0,1,1,.96155715
221,1,0,1,0,1,1,.82658541
222,1,0,0,1,1,0,.21332315
222,1,0,1,1,1,0,-.80733663
223,1,0,0,0,1,0,-.43018398
223,1,0,1,0,1,0,.039885584
224,1,0,0,0,1,0,-3.5188737
224,1,0,1,0,1,0,.039885584
225,1,0,0,0,1,0,1.1797786
225,1,0,1,0,1,0,1.0697988
226,1,0,0,0,1,0,.09047959
226,1,0,1,0,1,0,-1.0016208
227,1,0,0,0,1,0,-.032794926
227,1,0,1,0,1,0,.29570463
228,1,0,0,0,1,0,.58561659
228,1,0,1,0,1,0,1.0697988
229,1,0,0,0,1,0,.21332315
229,1,0,1,0,1,0,.82658541
230,1,0,0,0,1,0,.88269764
230,1,0,1,0,1,0,-.22676605
231,1,0,0,0,1,0,.12681039
231,1,0,1,0,1,0,1.6132852
232,1,0,0,0,1,0,-.92710942
232,1,0,1,0,1,0,-.42028958
233,1,0,0,0,1,0,.21332315
233,1,0,1,0,1,0,.58361906
234,1,0,0,0,1,0,.44089365
234,1,0,1,0,1,0,1.0697988
235,1,0,0,0,0,0,.21332315
235,1,0,1,0,0,0,.039885584
236,1,0,0,0,1,0,.96155715
236,1,0,1,0,1,0,1.6132852
237,1,0,0,0,0,0,.21332315
237,1,0,1,0,0,0,.82658541
238,1,0,0,0,0,0,.21332315
238,1,0,1,0,0,0,-.68901348
239,1,0,0,0,1,0,-.032794926
239,1,0,1,0,1,0,.82658541
240,1,0,0,0,1,0,-.62142366
240,1,0,1,0,1,0,.039885584
241,1,0,0,0,1,0,-1.2716564
241,1,0,1,0,1,0,.55344892
242,1,0,0,0,1,0,.54418379
242,1,0,1,0,1,0,.82658541
243,1,0,0,0,1,0,-.032794926
243,1,0,1,0,1,0,1.0697988
244,1,0,0,0,1,0,-.33852518
244,1,0,1,0,1,0,-.55934751
245,1,0,0,0,1,0,-2.2966242
245,1,0,1,0,1,0,-1.5405136
246,1,0,0,0,1,0,-2.0841069
246,1,0,1,0,1,0,-1.1725079
247,1,0,0,1,1,0,-.32987592
247,1,0,1,1,1,0,.82658541
248,1,0,0,1,1,0,-.032794926
248,1,0,1,1,1,0,2.3663635
249,1,0,0,1,1,0,.77823955
249,1,0,1,1,1,0,-.38824633
250,1,0,0,0,0,0,-.061653327
250,1,0,1,0,0,0,.82658541
251,1,0,0,0,1,0,-.36392993
251,1,0,1,0,1,0,.097686358
252,1,0,0,0,1,0,.96155715
252,1,0,1,0,1,0,.039885584
253,1,0,0,0,1,0,-.38041326
253,1,0,1,0,1,0,1.0697988
254,1,0,0,0,0,0,-.41273692
254,1,0,1,0,0,0,-1.3330839
255,1,0,0,0,1,1,.21332315
255,1,0,1,0,1,1,.82658541
256,1,0,0,0,0,1,-.41273692
256,1,0,1,0,0,1,.82658541
257,1,0,0,0,1,0,-.032794926
257,1,0,1,0,1,0,.68275172
258,1,0,0,0,1,0,-.64542264
258,1,0,1,0,1,0,.039885584
259,1,0,0,1,1,0,-1.0725784
259,1,0,1,1,1,0,-.71918362
260,1,0,0,0,1,0,.21332315
260,1,0,1,0,1,0,.039885584
261,1,0,0,1,1,0,-1.0725784
261,1,0,1,1,1,0,.039885584
262,1,0,0,0,1,0,-.69871104
262,1,0,1,0,1,0,-1.3330839
263,1,0,0,1,1,0,-.55376381
263,1,0,1,1,1,0,-4.4498944
264,1,0,0,0,1,0,.21332315
264,1,0,1,0,1,0,.039885584
265,1,0,0,1,1,0,1.1797786
265,1,0,1,1,1,0,1.0697988
266,1,0,0,0,1,0,.21332315
266,1,0,1,0,1,0,-.22676605
267,1,0,0,0,1,0,-.032794926
267,1,0,1,0,1,0,-.22676605
268,1,0,0,0,0,0,.0046364437
268,1,0,1,0,0,0,.82658541
269,1,0,0,1,1,0,1.1797786
269,1,0,1,1,1,0,-.42028958
270,1,0,0,1,1,0,.030005489
270,1,0,1,1,1,0,.039885584
271,1,0,0,0,1,0,.77823955
271,1,0,1,0,1,0,.82658541
272,1,0,0,0,1,0,-.032794926
272,1,0,1,0,1,0,1.0697988
273,1,0,0,0,1,0,-.032794926
273,1,0,1,0,1,0,.87627524
274,1,0,0,0,0,0,.21332315
274,1,0,1,0,0,0,.82658541
275,1,0,0,0,1,0,-.73234397
275,1,0,1,0,1,0,-.40363279
276,1,0,0,0,0,0,.96155715
276,1,0,1,0,0,0,-.19495793
277,1,0,0,0,1,0,-.77549738
277,1,0,1,0,1,0,-.22676605
278,1,0,0,1,1,0,.0046364437
278,1,0,1,1,1,0,-1.3168383
279,1,0,0,1,1,0,.77823955
279,1,0,1,1,1,0,.82658541
280,1,0,0,0,1,0,-.32987592
280,1,0,1,0,1,0,-.22676605
281,1,0,0,0,1,0,.21332315
281,1,0,1,0,1,0,.039885584
282,1,0,0,1,1,0,.21332315
282,1,0,1,1,1,0,-.7469362
283,1,0,0,0,1,0,-.49956477
283,1,0,1,0,1,0,-.80733663
284,1,0,0,0,1,0,-.032794926
284,1,0,1,0,1,0,-.22676605
285,1,0,0,1,1,1,.21332315
285,1,0,1,1,1,1,.039885584
286,1,0,0,0,1,0,.09047959
286,1,0,1,0,1,0,.039885584
287,1,0,0,0,1,0,-1.2794471
287,1,0,1,0,1,0,.82658541
288,1,0,0,1,1,0,.21332315
288,1,0,1,1,1,0,.039885584
289,1,0,0,0,1,1,.21332315
289,1,0,1,0,1,1,.039885584
290,1,0,0,0,1,0,.21332315
290,1,0,1,0,1,0,.039885584
291,1,0,0,0,0,0,.68658078
291,1,0,1,0,0,0,.70916367
292,1,0,0,0,1,0,.21332315
292,1,0,1,0,1,0,.82658541
293,1,0,0,0,1,0,.54418379
293,1,0,1,0,1,0,-1.6586127
294,1,0,0,0,1,0,-.18133542
294,1,0,1,0,1,0,-.22676605
295,1,0,0,1,1,0,.96155715
295,1,0,1,1,1,0,.039885584
296,1,0,0,0,1,0,.73401761
296,1,0,1,0,1,0,-.40238759
297,1,0,0,0,1,0,-.032794926
297,1,0,1,0,1,0,-.22676605
298,1,0,0,0,1,0,.21332315
298,1,0,1,0,1,0,1.0697988
299,1,0,0,0,1,0,.77823955
299,1,0,1,0,1,0,.82658541
300,1,0,0,0,1,0,-.088953458
300,1,0,1,0,1,0,.039885584
301,1,0,0,1,1,1,.21332315
301,1,0,1,1,1,1,.039885584
302,1,0,0,1,0,0,.21332315
302,1,0,1,1,0,0,.039885584
303,1,0,0,0,0,0,.33549711
303,1,0,1,0,0,0,-.51980937
304,1,0,0,0,0,1,.21332315
304,1,0,1,0,0,1,.82658541
305,1,0,0,0,0,0,.66121161
305,1,0,1,0,0,0,-1.2906697
306,1,0,0,0,1,0,.88269764
